t,x,y,z,vx,vy,vz
0.0,-2.0,5.4166779685891013e-39,1.03,0.0,0.0,0.0
0.12,-1.9840865967488293,0.036000000271495705,1.03,0.2652233875195123,0.6000000045249284,0.0
0.24,-1.9347790911722083,0.14400000105510086,1.03,0.5565683720908399,1.2000000085351572,0.0
0.36,-1.8489428918709323,0.3240000022559497,1.03,0.8740349495970894,1.800000011478991,0.0
0.48,-1.72344340795534,0.5760000035982866,1.03,1.2176231156627837,2.4000000108932893,0.0
0.6,-1.5551460490869229,0.8923039702854045,1.03,1.5873328654775007,2.871732767225344,0.0
0.72,-1.3409162255473088,1.2078230788748678,1.03,1.983164193516067,2.3869190425990467,0.0
0.84,-1.077619348354646,1.4582533640157498,1.03,2.4051170930283168,1.7869190430823163,0.0
0.96,-0.7621208294799583,1.636683649007663,1.03,2.8531915548831432,1.1869190401162388,0.0
1.08,-0.39128608242070834,1.7431139335804309,1.03,3.327387562771023,0.5869190360965573,0.0
1.2,0.02157483104013472,1.7775442176593177,1.03,3.553627661576361,-0.013080968115108551,0.0
1.3199999999999998,0.43210628107719246,1.7399745012553847,1.03,3.2885631723746016,-0.6130809719504425,0.0
1.44,0.7978790962811159,1.6304047844406835,1.03,2.807650414357457,-1.2130809749612401,0.0
1.56,1.1076751318815572,1.4488350673749444,1.03,2.355616845649899,-1.8130809761344129,0.0
1.68,1.3649598915338013,1.195265350630751,1.03,1.9324624818874994,-2.4130809696021456,0.0
1.7999999999999998,1.5731988803824297,0.8852402474736654,1.03,1.53818733225631,-2.754004083015947,0.0
1.92,1.735857604531266,0.576000002376233,1.03,1.172791403557627,-2.40000000194126,0.0
2.04,1.8564015708257495,0.32400000177334987,1.03,0.836274701350429,-1.8000000081067924,0.0
2.16,1.9382962867349163,0.1440000008742438,1.03,0.5286372304690181,-1.200000006878309,0.0
2.28,1.9850072602815287,0.03600000023077262,1.03,0.24987899530785435,-0.6000000038462102,0.0
2.4,2.0,0.0,1.03,0.0,0.0,0.0
